168,2016-06-08,Last date hard copy submission for FYSE,,Last date for submission of hard copy of Application for FYSE (First Year Supplementary Examination)
169,2016-06-09,,,
170,2016-06-10,,,
171,2016-06-11,,,
172,2016-06-12,,,
173,2016-06-13,Issue of FYSE Hall Tickets,,
174,2016-06-14,FYSE,,First Year Supplementary Examination
175,2016-06-15,FYSE,,First Year Supplementary Examination
176,2016-06-16,FYSE,,First Year Supplementary Examination
177,2016-06-17,FYSE,,First Year Supplementary Examination
178,2016-06-18,,,
179,2016-06-19,,,
180,2016-06-20,FYSE,,
181,2016-06-21,FYSE,,
182,2016-06-22,FYSE,,
183,2016-06-23,FYSE,,
184,2016-06-24,,,
185,2016-06-25,,,
186,2016-06-26,,,
187,2016-06-27,,,
188,2016-06-28,,,
189,2016-06-29,,,
190,2016-06-30,FYSE Result,,
191,2016-07-01,,,
192,2016-07-02,,,
193,2016-07-03,,,
194,2016-07-04,,,
195,2016-07-05,,,
196,2016-07-06,"Idu'l Fitr, SV(F) Ends",,
197,2016-07-07,,,
198,2016-07-08,Registration 1,,
199,2016-07-09,,,
200,2016-07-10,,,
201,2016-07-11,Registration 2,,
202,2016-07-12,Registration 3,,
203,2016-07-13,Class Starts,,
